index,content_id,severity,severity_code,categories,desc_core_ko,graph_preserved_ko,gap_ko,desc_summary,graph_summary,desc_source,graph_source,desc_sha256,graph_sha256
1,microlens_100k_00001,핵심 손실,H,"T,N,I,P","구창가·당완의 판타지 대결, 동생 구출 부탁과 주종 굴복, 종파 갈등",전통 복장 인물들의 대화·울음·모임,"인물 역할, 힘의 대결, 갈등 원인과 목적 및 병렬 서사 소실","A dramatic fantasy confrontation unfolds between Gu Changge and Tang Wan. Displaying calm detachment and supernatural void powers, Gu Changge divides space and unleashes an overwhelming force that shatters the surrounding area, knocking Tang Wan back and causing her to spit blood. In great distress and fear, Tang Wan desperately pleads for the release of her brother. Gu Changge makes a solemn vow by his heart, hiding a demonic nature that makes the oath effortless for him, while Tang Wan eventually relents, wrestling with the painful reality of submitting to him as master. 

Meanwhile, parallel conflicts develop involving family ties, sect politics, and mysterious arts. Gu Xian'er reflects in isolation while contemplating ancient bone scriptures and her prideful divine-demonic constitution, later experiencing emotional tension and harsh criticism in Gu Changge's presence. In a grand assembly hall, elders from the True Dao Academy arrive and examine a recognized bottle containing the precious Nine-Turn Immortal Rebirth Pill, seeking answers about an attack linked to the Heavenly Sovereign of the Purple Sun. 

At the same time, a green-eyed youth named Qingfeng despairs over his captive kin, Xiao Yi. While a masked figure and the elders hesitate to become entangled in perilous matters connected to grand demonic lineages, Qingfeng fervently pleads for intervention. Amidst the kingdom's brewing crisis, leaders and elders find themselves blindsided by Gu Changge's undetected arrival, signaling a shift in power as the overarching conflict deepens.","The video depicts a series of dramatic narrative interactions among characters dressed in traditional robes and garments. A central figure with long brown hair and expressive purple eyes frequently engages with others, conversing, exchanging smiles, and sharing moments with individuals in flowing white robes. In earlier encounters, an individual wearing a black mask reaches toward the purple-eyed figure, while other scenes capture quiet exchanges over cups. 

Tensions arise as emotional conflicts develop across the group. Several figures are shown crying, shouting, or gazing with intense and angry expressions. Figures with long dark hair consult and handle scrolls, while others gesture, speak urgently, or point. Some scenes feature physical distress, with characters lying down or resting on the ground while companions touch or support them, including an individual holding a fan and others clad in distinctive blue and purple attire.

The setting also showcases courtly or formal gatherings, where multiple figures in matching white and gold robes stand assembled. In a grander chamber, a figure with long white hair sits atop a throne as others address or shout toward them. Later moments continue with character dialogues featuring individuals in traditional dress, including one bearing a red mark on their forehead standing alongside a white-haired figure in black robes, concluding the sequence of varied dramatic encounters.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00001.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00001.json,ffb8bcce3bc5dca169e0936703bf3a19f8bcde2ee1e8cab5a9e84b328506c889,ab5eed3b9320c7a697945f887f333f9a86cd49aaf34cf0031146ba0d80103eb0
2,microlens_100k_00002,부분 손실,M,"P,C",매운 볶음 요리를 만들고 함께 맛보며 매운맛에 반응,재료 손질·웍 조리·공동 식사 보존,"매운 요리의 특징과 먹는 반응, 소스와 완성 음식 묘사 약화; 주재료는 desc도 불확실","In a rustic outdoor setting with a brick wall and hanging chilies, two women prepare and enjoy a spicy home-cooked stir-fry. The cooking process begins with chopping garlic, ginger, and green onions before washing, drying, and adding a generous portion of red chilies to a large, heated black wok with oil. The woman in the white t-shirt and striped apron takes the lead at the wok, sautéing the garlic and chilies with a metal spatula while the woman in the floral shirt watches and assists nearby. 

Thin noodles or strips of meat—appearing to be dried meat, duck intestines, or small fish—are vigorously tossed in the wok along with sliced onions, green vegetables, and additional chilies. Once the ingredients are thoroughly coated in sauce and fully cooked, the glossy, vibrant dish is transferred to large red serving dishes.

After cooking, both women sit together at a wooden table to eat the meal using chopsticks. They converse, laugh, and react to the dish's intense spiciness and flavor. At one point, the woman on the right opens a clear plastic bag at the table as they continue chatting, sharing drinks, and happily enjoying their freshly cooked food.","Two people wearing aprons—one in a white shirt and the other in a blue floral shirt—work together to prepare and enjoy a meal. The process begins with food preparation, where celery and other vegetables are handled and chopped. Using a large silver knife, the person in the white shirt washes and chops various aromatic ingredients, including red chilis, garlic, ginger, and scallions. 

Working side by side, the person in the white shirt steadies a large black wok while the person in the floral shirt adds the prepared sliced ginger and chopped chilis. As cooking progresses, long metal spoons are used to stir the ingredients sizzling inside the wok, and additional food is poured into the pan from a red plate to finish the dish. 

Once the cooking is complete, the two sit down together to share the food from a large red plate. Both use chopsticks to eat from the central dish as well as from individual green cups, looking at each other and the meal while holding a small white bag during their conversation.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00002.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00002.json,d8912175b95fd7d126728ca3d9e8a1ed913d43c50b82ce5e2355e4f73cc50b72,143e4dda8f9b4c1c98439c91e14834d1cc4cbba4d6c45751b3368cf9f5936d69
3,microlens_100k_00003,부분 손실,M,"T,N,C","유머·극적 상황 모음, 위로·충돌·공익 활동",일상 거리·실내 행동 모음,"각 에피소드의 상황과 정서, 유머 포인트가 일반적인 행동 나열로 축소","This compilation features a wide variety of dramatic, humorous, and candid vignettes involving personal interactions and everyday situations. 

Several segments center on close interpersonal and domestic exchanges. A woman confronts a man on a couch over a phone, while another domestic scene shows an affectionate man comforting a distressed young woman with content on his device. In a public indoor space, two men warmly interact with an infant, followed by a couple viewing a phone together. Subtle physical touches and expressive encounters, including an energetic clown-faced dancer performing for someone at a desk, appear alongside quiet transactions, such as a customer attempting a card payment over a store counter.

Other scenes capture outdoor tensions and community events. A masked man wields a wooden stick near a truck during a confrontation, contrasting with rural moments where individuals on bicycles and motorcycles gather around topics of donation and public service. Elsewhere, sanitation workers clear waste along a park path before a passing minivan causes a pause, quickly followed by a woman in a yellow dress running through an adjacent parking lot. 

Vehicles and individual travel frequently connect the clips. One woman counts a stack of banknotes inside a white luxury convertible before taking the wheel, accompanied by a man in a denim jacket. Another man smiles while relaxing on a couch and later drives his car. Diverse portraits punctuate the collection, ranging from a shirtless man speaking from shallow ocean waters and a woman seated near a scooter to dramatic close-ups of heavily stylized makeup and health workers clad in full protective suits operating in residential lots.","The video presents a collection of varied everyday moments, street scenes, and indoor interactions. In an indoor gathering, a person in a black tank top dances near others who are sitting or standing, while in another interior setting, masked individuals in jackets interact with two people seated on a couch and exchanging glances. Additional domestic scenes feature a person lying on a couch, as well as several people wearing black shirts smiling together while looking at each other and holding a phone. 

Elsewhere, people move through diverse outdoor and public environments. A driver maneuvers a white car beside someone standing in a white suit, while in another instance, someone drives a red car past a person holding money and an individual walking nearby. Activity around town includes a worker pushing a cart in a white protective suit, a shirtless person in the water, someone seated on a bench, and another individual riding a scooter. Nearby, workers in green jackets sweep and bend over while a person in a blue shirt and another in a yellow dress run past them. 

Street life continues with pedestrians and commuters, including a person in a yellow top and pearl necklace walking near someone talking on a phone, as well as multiple individuals riding motorcycles together alongside people walking on foot. Other interactions capture individuals examining cards, glancing toward the camera, and engaging in quiet conversation. Masked individuals and others wearing pink or black shirts are also seen holding a baby and using mobile phones.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00003.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00003.json,e0d125bfa0e4d2ccf1de151d4aec6eefcce019f6b0fd081a5e1af7415738cbff,e43b5ebc24653b42aca1c13bae3cc228b396b4d066f3b830f4394196d12a3306
4,microlens_100k_00004,핵심 손실,H,"T,I,P,R",MOBA 스트리머의 아이템·룬 세팅과 상대별 대응 공략,검은 옷의 네 명이 함께 게임하는 장면,"공략 목적, 아이템 효능·빌드 비교와 스트리머 단일 인물 구조 소실","A young male streamer with dark hair and glasses plays and analyzes a mobile multiplayer online battle arena (MOBA) game, likely Honor of Kings or a similar title, from his gaming chair in front of a blue curtain. Throughout the video, his gameplay sessions in a fantasy battlefield alternate with in-depth strategic reviews of character builds, item optimization, and match history. 

During intense combat segments, the streamer reacts to ongoing team fights, showing frustration or disbelief at times while navigating a match. Between matches, he examines his inventory, item statistics, and rune configurations to explain his strategic decisions against different opponent types. Key discussions center around balancing defensive survivability with offensive power, highlighting items such as Pure Sky, Counter-Strike Armor, Eternal Night Guardian, and Sentry Blade to counter physical burst damage or mitigate threat from enemy mages. 

Toward the end, the video transitions into a tutorial format, comparing various gear setups for standard play, countering magic-damage junglers, and addressing physical burst threats while keeping runes consistent.","A group of four individuals wearing glasses and black shirts are seated together, watching and looking at one another. They actively participate in a game, each making selections while dressed in matching black attire. 

The video also features four figures dressed in red outfits standing beside one another, with three holding weapons and one distinguishable by blonde hair. In another sequence, animated or distinct characters engage in conversation, including one with blue hair conversing with three white-haired figures. 

Throughout the gaming sessions, players are seen actively engaged in gameplay using a variety of input devices, including mice, a keyboard, and a controller.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00004.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00004.json,f3ac5f7972c5771dd1c34c8c130f1e4a673b9953363c2ca3c472cfb675875c32,6aafcbc2c7bf2eed60830b3c8d8110afaa3bc6210e1a93d915aa83c1ef9ce857
5,microlens_100k_00005,핵심 손실,H,"T,N,I",부부의 카드 정지·과소비·부동산 계약·외도 의심,정장 입은 사람들의 사회적·업무상 대화,"부부 관계, 금전 갈등의 원인, 이혼 거부 등 서사 핵심 소실","The drama centers on escalating financial and marital tensions between a husband and wife. The conflict begins after the wife spends a large sum of money, prompting her husband to freeze her bank cards. She discovers this when informed at a counter that her secondary card has been canceled, leading to a furious confrontation in his office where she accuses him of shutting down her accounts while he defends his actions as a necessary measure to avoid bankruptcy.

Simultaneously, unexpected property transactions and signed contracts complicate matters. The husband is baffled in a real estate office when agents insist a home purchase has already been verified under his identity, and he later faces emotionally charged discussions involving contracts in professional and medical settings. The wife also confronts another woman regarding her future happiness amid ongoing property advertisements.

Back at home, the couple engages in bitter arguments. The wife accuses the husband of pursuing an extramarital affair, while he reacts with sorrow, exhaustion, and resignation as they question the future of their marriage. Despite the turmoil, she asserts that she will not divorce him. The narrative continues with the husband navigating professional strain in his office, reviewing emails, and consulting colleagues, while further conversations unfold in quiet domestic spaces and an industrial transit setting, underscoring the deep emotional and financial rift destabilizing their relationship.","The video depicts various small groups engaged in social and formal interactions across multiple settings. Initially, an encounter outdoors or near a vehicle features several individuals in black suits standing together, interacting with a person in a red jacket holding a bag who touches or holds onto one of the suited figures standing beside a car. 

Subsequent indoor gatherings show individuals conversing and interacting in both casual and professional arrangements. At a counter, individuals in black jackets and a green jacket converse while another in a gray shirt observes. Other scenes capture seated and standing groups, including figures in blue and white shirts mingling with those in suits and green tops. Interactions include people speaking to one another, exchanging looks, and occasionally making physical contact, such as a person bending down in white sneakers touching another seated in a grey t-shirt. A smiling person in a green jacket appears among others in black and white shirts, while another scene captures an exchange where someone wearing a green sweater speaks with individuals in gray and blue shirts.

Later segments show further groups gathered closely in conversation. In one instance, individuals in dark suits and black jackets stand beside one another, exchanging glances. Finally, an individual in a jacket converses directly with a companion wearing a backpack, the two facing each other as one speaks.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00005.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00005.json,06fa5ac6f6ee0685dc42a6b142cda00bb96d556ee3628f5cd657099719292cae,415fec67ba0ffedc8ef56cd8cfb45ebb589dd699f9ba022d5e22e7c92dbbd350
6,microlens_100k_00006,부분 손실,M,"C,R","음악 무대와 스튜디오 컷, 수중 리본 춤과 조명 연출",라이브 공연과 의상·마이크 보존,수중 공연과 무대 분위기 약화; 다른 공연 인물들을 함께 상호작용하는 집단처럼 서술,"This compilation highlights an array of music performances, studio segments, and dramatic cutscenes from various shows. The video opens with conversational studio footage, showing a woman in a denim jacket looking at her phone alongside interactions between a man in a yellow jacket and a woman in a white blazer. It periodically cuts to a recurring, stylized figure in a black hoodie with a glowing, pixelated face framed against neon-lit brick walls. 

Major performance sequences unfold across vibrant stages. One segment features a man in an embroidered black jacket alongside vocalists on an elaborately lit set, followed by a woman in a red and blue floral dress singing passionately against deep blue stage lighting. Interspersed with these musical moments are artistic, fantasy-style visuals, including a costumed figure dancing underwater with flowing ribbons and plunging into water. 

Other performance settings include a formal concert hall where a man in a black tuxedo sings into a microphone amidst glowing stage patterns and dramatic spotlighting. Additional stage moments feature a man in a white suit and a masked woman in a white dress, paired with fleeting glimpses of a woman in a white robe and a video game character in armor. Throughout the sequence, the video weaves casual backstage or studio reactions—such as the woman checking her phone—with high-energy, emotionally expressive live stage vocals.","The video captures a mix of casual interactions, staged scenes, and live musical performances. In relaxed offstage moments, several individuals gather together; one person in a denim jacket is frequently seen looking at a phone, while others nearby converse, smile, sit in white attire, or make peace signs while wearing a black hoodie and mask.

The video also features theatrical and performance segments. A group of performers lined up beside one another—dressed in black jackets, a black dress, a black suit, and red and blue dresses—stand together while each holds a microphone. In other performance scenes, individuals in costumes engage dramatically: a performer in a red and blue dress and another in a white costume sing while interacting with and holding a masked figure in a black hoodie, accompanied by a person in a white dress. Additional theatrical moments show an individual in a white robe, a figure clad in black armor holding a weapon, and people dressed in black suits walking on stage and holding microphones as they perform.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00006.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00006.json,4cb0e9def2ac62d1769262b9a37698752c87adfc5e183a3f17781f6e2deba258,8532346af895c57afa8c4ad3fe570c9b3f8a94e064cb8ec564b9f905146afebb
7,microlens_100k_00007,핵심 손실,H,"T,N,I,P","무술 대결 뒤 연합 수장 추대, 피습·감금된 지인 소식",애니메이션 인물 모임·포옹·외모,"승패, 권력 재편, 구조가 필요한 지인과 후속 사건의 연결 소실","A dramatic comic narrative unfolds around a high-stakes gathering of powerful families in the Northern State, rife with internal conflict and corruption. Amid a tense assembly in a public space, a pink-haired martial artist unleashes a surge of chi energy, moving with blinding speed to overpower Wu Baoqi, who ends up hurled into a distant tree to the shock of onlooker martial artists. Following the display of overwhelming strength, an elder in a red and white robe—the family patriarch—solemnly bows in gratitude and respect to the victorious protagonist. 

Addressing the gathered clan members, the elder reflects on the region's history of internal strife and proposes establishing an alliance council under a unified leader. Key figures, including an older man and another passionate speaker, engage in intense discussions to elect the alliance head, drawing reactions from nearby attendees like a blue-haired woman. The central young man, dressed in a formal suit with a red bow tie, accepts the weight of these developments with quiet determination, interacting with allies and family figures as he assumes a pivotal role before departing by car. 

Later, a mobile phone notification delivers alarming news that an associate named Su Jiaqi has been attacked and confined. A man reflects somberly on the crisis before reuniting with an upset blonde woman in a pink dress, holding her close as she tearfully confides in him about her confinement.","The video features a series of animated interactions involving groups of expressive characters. In an initial gathering, five figures stand side by side; among them, a brown-haired individual raises a fist while another shouts, accompanied by a gray-haired person, a speaking white-haired figure, and another with blue hair. The dynamics shift as a robed person with white hair, someone in a black suit, a person with raised hands, and an individual in a red bow tie stand closely together, linked in a chain of holds.

Emotional exchanges continue as figures in red jackets and green shirts shout while a white-haired character speaks. Nearby, a brown-haired person whispers to a blushing companion with blue hair. Formal interactions follow among a group in elegant attire: an individual with black hair, purple eyes, and a tuxedo stands alongside a white-haired companion in a red vest. They interact with a blue-haired person in a blue dress and another figure in a black jacket, who converse as the person in the black jacket extends a hand. Finally, the scene transitions to an entangled group holding one another while seated, including a blonde person in a pink dress, figures in black shirts, and an individual wearing a white shirt, glasses, and a mustache.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00007.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00007.json,8047b190b803252eee6036b67fcdeb86803e45ccb0176f70ff0ecda8d4777bbf,89c3fd26328ea9f8ef0aa066b86bd5876ff1346b1af104b193e3598bb4ebb8ea
8,microlens_100k_00008,부분 손실,M,"P,C",성게 손질 후 달걀물을 넣어 찌고 부드러운 성게 계란찜 시식,성게 등 해산물 준비·조리·시식,달걀물·찜 방식·완성 요리와 식감이 없어 레시피 정체성 약화,"A woman unpacks a box of fresh, spiky purple sea urchins sent by a friend. After she inspects the live seafood, a man in a green t-shirt steps in to help prepare them, carefully using a knife and tools to cut open the shells, remove the spines, and clean them out. Meanwhile, the woman mixes an unsalted egg wash in the kitchen. She then leaves briefly to purchase green onions from a market. 

Back home, she steams the sea urchins covered with the egg mixture in a wok over a gas stove. Once the dish is finished, it forms a creamy, savory custard garnished with freshly chopped green onions. Sitting down at a wooden dining table, both the woman and the man take turns tasting and enjoying the freshly prepared dish with spoons. As they eat, they marvel at the tender texture and fresh seafood flavor, playfully remarking on the labor-intensive cleaning process and high nutritional value of the meal.","The video follows the preparation and tasting of a seafood dish. Initially, a smiling person in a black shirt holds white boxes and picks up a wet, black sea urchin. Multiple people, dressed in black and green shirts, participate in preparing the seafood by cutting, stirring ingredients, and handling bowls and sea urchins. 

A person wearing a black shirt and blue jeans continues the culinary preparation in a kitchen, standing near a black stove and opening a white cabinet with louvered doors. They pour ingredients onto a striped plate, inspect and pick up green onions, and interact with various items in the space, including sitting on a bench and holding a shoe. 

Once the food is served onto dishes, group members gather to eat. Individuals in black shirts—some with pearl trim—as well as people in green shirts taste the prepared meal using spoons, frequently gesturing toward their food and talking with one another as they share dishes from striped plates.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00008.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00008.json,e0db4459efe5ab2c66db5a848889ed58b565c007a5a00fd6d2b59d5d25179237,ece55a0d6b9cf35849ef06c0a8529513c24420d16d53c64a7b94e40ad197175c
9,microlens_100k_00009,핵심 손실,H,"T,N,P","독에 중독된 환자와 수상한 독 치료, 도주와 변신",실험실 같은 곳의 인물·병·웃음·충돌,"중독과 치료 실패라는 주제, 의사의 행동 이유와 결과 소실","The narrative centers on an eccentric medical clinic or laboratory managed by a scientist in a white lab coat, blue cap, and goggles. The story begins with a crisis involving discarded soda, leaving a white, egg-shaped character and an elderly green creature in deep distress over what appears to be widespread poisoning. 

Inside the facility, marked by medical signs and cluttered with jars, bottles, and various chemical substances, the scientist attempts to treat afflicted creatures. Among the patients are blue fish-like beings, a banded crab wired to medical equipment, and an agonized green frog-like creature. Rather than offering conventional remedies, the scientist employs a bizarre and dubious method of treating poison with more poison, administering questionable vials and pills alongside a green, bearded colleague. The distressed patients react with fear and confusion as their treatments yield alarming results, leading to further physical anguish.

The situation escalates outside the facility as patients and family members interact with the practitioner. A manic, grinning monkey character attempts to flee without paying, ultimately taunting the doctor by claiming that he, too, has been poisoned, plunging the scientist into panic. Soon after, a distressed young boy collapses near the doorway, prompting the doctor to hastily offer treatment before realizing he made a severe error. Amid a blinding flash, a dramatic transformation occurs, leaving behind a renewed, silhouetted figure. The sequence concludes at night, where a calm figure in sunglasses and a jacket watches the grinning humanoid run off near a glowing dome-shaped structure.","The video follows various characters interacting in laboratory-like and domestic settings. Initially, a doctor wearing glasses and a blue cap observes a crying figure with a white body, who lies on the floor holding an open pink box beside a yawning, green-faced individual. The setting then shifts to a room with several figures, including red-skinned and green-skinned characters, where individuals hold glassware like jars and flasks or sit near a door. 

Subsequently, groups of characters in white coats—some wearing blue hats, others sporting glasses—interact in professional or clinical environments. They are seen holding devices, raising hands, smiling, and laughing together while gathered closely. In another sequence, green-skinned figures in white shirts become embroiled in conflict alongside a blue-haired individual in a lab coat, with one green-skinned person attacking another while others hold on to each other. 

Elsewhere, individuals dressed in pink gowns and white clothing stand together carrying pink and blue items. Finally, outside a house featuring illuminated windows, a person in a white lab coat stands in the doorway while another figure in a white shirt runs toward the building, passing by someone wearing sunglasses and a blue cap.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00009.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00009.json,27a6c744c6fcb42318ff47b14d828b37dc4502b2a2cc3a0dcdbd493d9b4363f7,67a96c736ef6ce279a772816bafd8831189bfd854a38bd8efeca2410dc000ba0
10,microlens_100k_00010,핵심 손실,H,"N,I,C,R","슈퍼히어로와 아들의 관계 공개, 대중 환호와 위기",슈퍼히어로·아이·복장별 사람의 접촉,부자 관계와 환호→위험 전환 소실; 동일 의상 영웅이 서로 안는 복수 인물로 등장,"A man in a blue superhero costume with a red cape engages in a personal moment with a young boy wearing a striped shirt in a suburban backyard with a pool, speaking to him while holding a baseball glove and revealing that the boy is his son. The superhero is later seen smiling before a supportive public crowd holding signs in a community setting. 

Interspersed with these interactions are brief, high-tension action sequences. These rapid moments depict a figure caught in a bright red burst of energy, someone gripping a metallic weapon, a bearded man in a green armored suit grimacing in distress, a suited figure crashing through shattered glass, and two men conversing intensely in a coolly lit room.

The superhero is then shown smiling confidently in a busy urban gathering alongside the young boy, who wears a red plaid shirt. Amidst the crowd, an alarm of impending danger arises, leading to a sudden, chaotic shift that leaves the boy watching the unfolding situation with concern and curiosity.","A person dressed as a superhero in a blue suit with a red cape stands beside someone in a striped shirt while talking to and looking at a child wearing a red and white shirt. The superhero also holds another individual in an identical blue suit and red cape costume. 

Nearby, a person in a black jacket stands beside a crying figure in green armor. Someone in a red plaid shirt walks alongside a person in a blue suit and holds both the person in the black jacket and the one in green armor, while another person in a red shirt stands beside the walking individual in the blue suit. 

Later, a person with blue hair smiles while standing beside someone in a red shirt. The person in the red plaid shirt holds and looks at the blue-haired person, who returns the gaze, as another person in a red shirt stands nearby holding a phone.",artifacts/runs/v4_260922/extraction/summaries/desc_qwen/microlens_100k_00010.json,artifacts/runs/v4_260922/extraction/summaries/graph_qwen/microlens_100k_00010.json,231c104c3f322dd56491ec5e9f48df4258c59be773e6a2d9c7c9d361c5640b8b,3466648ef0e1572c767c0c5e0f5422deb0962887fec2c07d3a666f2c828cd5e4
